epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,1861.42,1.10091,0.57884,1.07659,0.96569,0.62655,0.65609,0.45068,1.10024,0.48582,1.06184,0.000679204,0.000679204,0.000679204
55,1895.38,1.12201,0.60261,1.08784,0.96592,0.62597,0.65669,0.44943,1.10852,0.48534,1.06829,0.000665057,0.000665057,0.000665057
56,1929.45,1.09424,0.56654,1.05062,0.96454,0.62767,0.65644,0.44903,1.10485,0.48064,1.06484,0.000650909,0.000650909,0.000650909
57,1963.32,1.09707,0.58145,1.08068,0.96412,0.62506,0.65666,0.44924,1.106,0.48674,1.06667,0.000636762,0.000636762,0.000636762
58,1997.32,1.10084,0.5524,1.06938,0.963,0.62612,0.65784,0.44968,1.10441,0.47974,1.06389,0.000622615,0.000622615,0.000622615
59,2031.04,1.08771,0.55329,1.06716,0.96389,0.62473,0.65672,0.44963,1.10701,0.47943,1.06446,0.000608468,0.000608468,0.000608468
60,2065.09,1.10443,0.56384,1.0632,0.96561,0.6269,0.65964,0.45043,1.10178,0.47657,1.05917,0.000594321,0.000594321,0.000594321
61,2098.98,1.09186,0.57102,1.08084,0.96528,0.62549,0.65939,0.44922,1.10399,0.47778,1.06259,0.000580174,0.000580174,0.000580174
62,2133.33,1.09958,0.56492,1.06823,0.96611,0.62488,0.65828,0.45184,1.10008,0.47338,1.06241,0.000566027,0.000566027,0.000566027
63,2167.44,1.10717,0.56357,1.06592,0.96265,0.63022,0.65755,0.45,1.09809,0.47185,1.06177,0.00055188,0.00055188,0.00055188
64,2201.39,1.11921,0.54784,1.07502,0.96132,0.63088,0.65844,0.45191,1.10013,0.47137,1.06433,0.000537733,0.000537733,0.000537733
65,2235.11,1.1086,0.55421,1.06108,0.96332,0.62688,0.65857,0.44996,1.10281,0.47526,1.06382,0.000523586,0.000523586,0.000523586
66,2269.07,1.07675,0.53777,1.06183,0.96681,0.62547,0.65824,0.4517,1.10048,0.47253,1.06291,0.000509438,0.000509438,0.000509438
67,2303.07,1.0741,0.53829,1.05913,0.9681,0.62261,0.65816,0.45258,1.09858,0.47211,1.0642,0.000495291,0.000495291,0.000495291
68,2337.53,1.04367,0.55384,1.06706,0.96611,0.62603,0.65902,0.45265,1.09943,0.4684,1.06156,0.000481144,0.000481144,0.000481144
69,2372.84,1.06278,0.53217,1.04042,0.96996,0.62328,0.65852,0.45203,1.10185,0.4725,1.05993,0.000466997,0.000466997,0.000466997
70,2406.45,1.04015,0.5407,1.04835,0.96428,0.62601,0.65727,0.45151,1.0984,0.4703,1.05878,0.00045285,0.00045285,0.00045285
71,2440.35,1.06699,0.53645,1.05561,0.96559,0.62657,0.65934,0.45194,1.10006,0.4681,1.06097,0.000438703,0.000438703,0.000438703
72,2474.17,1.05249,0.52054,1.05746,0.96795,0.62538,0.65795,0.45262,1.09791,0.46764,1.06029,0.000424556,0.000424556,0.000424556
73,2507.95,1.07602,0.54845,1.05602,0.96596,0.62696,0.65822,0.45245,1.09732,0.46889,1.06101,0.000410409,0.000410409,0.000410409
74,2543.89,1.07424,0.53559,1.05919,0.96707,0.62691,0.65724,0.4516,1.10085,0.4662,1.06339,0.000396262,0.000396262,0.000396262
75,2577.86,1.04435,0.52632,1.0695,0.96517,0.62907,0.65893,0.45255,1.09903,0.46412,1.06307,0.000382115,0.000382115,0.000382115
76,2615.88,1.03011,0.51019,1.03755,0.96628,0.62835,0.65748,0.45112,1.09993,0.46387,1.06316,0.000367967,0.000367967,0.000367967
77,2649.79,1.08393,0.54259,1.05431,0.9671,0.62562,0.65744,0.45144,1.09875,0.46689,1.0626,0.00035382,0.00035382,0.00035382
78,2683.34,1.04861,0.54846,1.05189,0.96695,0.62595,0.65783,0.4517,1.09611,0.46591,1.0631,0.000339673,0.000339673,0.000339673
79,2717.2,1.04522,0.54308,1.05694,0.96508,0.62703,0.65813,0.45175,1.0971,0.46594,1.06368,0.000325526,0.000325526,0.000325526
80,2751.05,1.04161,0.51512,1.03615,0.96733,0.62657,0.65737,0.45198,1.09579,0.46273,1.0595,0.000311379,0.000311379,0.000311379
81,2784.79,1.05211,0.53611,1.05379,0.96489,0.63006,0.65724,0.45067,1.0976,0.46379,1.06082,0.000297232,0.000297232,0.000297232
82,2818.63,1.05102,0.53696,1.05622,0.96482,0.62877,0.65743,0.45286,1.09328,0.46223,1.06015,0.000283085,0.000283085,0.000283085
83,2852.75,1.03521,0.49205,1.04777,0.96482,0.62801,0.65824,0.45142,1.09877,0.46278,1.0617,0.000268938,0.000268938,0.000268938
84,2887.15,1.05554,0.51765,1.05027,0.96696,0.62563,0.65763,0.45191,1.09943,0.46217,1.06133,0.000254791,0.000254791,0.000254791
85,2921.01,1.03698,0.5108,1.04043,0.96769,0.6234,0.65773,0.45237,1.09957,0.46056,1.06332,0.000240644,0.000240644,0.000240644
